x,y
1924471.3480452725,967696.3608079632
1924471.3703585977,967696.4221016875
1924471.391742271,967696.48332993
1924471.4091672858,967696.5328872525
1924471.4306509304,967696.5949823158
1924471.44970134,967696.6517249524
1924471.4718770632,967696.7152048664
1924471.4897116201,967696.7657333509
1924471.510983679,967696.8291066192
1924471.5320771604,967696.8919015715
1924471.5447950007,967696.9296406694
1924471.566459052,967696.9985235072
1924471.586133535,967697.0608797548
1924471.6055771394,967697.1228225268
1924471.6240910077,967697.1847204386
1924471.6429663447,967697.2466610107
1924471.6568500567,967697.2901808504
1924471.6767349294,967697.3515683278
1924471.6961806107,967697.4129747434
1924471.7110267382,967697.4614493598
1924471.7303466967,967697.521968219
1924471.7418580886,967697.5577428592
1924471.7612344038,967697.6237287293
1924471.7788811282,967697.6827558039
1924471.7932427002,967697.7296194524
1924471.810505638,967697.7876960892
1924471.8273541722,967697.8460599314
1924471.8432699505,967697.8984789037
1924471.8566241371,967697.9453386604
1924471.8724640913,967698.004008046
1924471.8894668112,967698.062578779
1924471.9067271198,967698.1213361761
1924471.9171303574,967698.1564463873
1924471.922873458,967698.1742511403
1924471.9381646083,967698.2212008989
1924471.9567669008,967698.2802729213
1924471.9760387137,967698.3398838984
1924471.9946900369,967698.3996368834
1924472.0100539753,967698.4478040566
1924472.0268652888,967698.502433832
1924472.0450198543,967698.5637320983
1924472.0595546702,967698.6125562108
1924472.081897657,967698.6862276855
1924472.097183146,967698.7346421089
1924472.114019973,967698.7893544981
1924472.1334443,967698.8496055758
1924472.149066466,967698.8977943766
1924472.169086724,967698.9575732757
1924472.1889005017,967699.0173101185
1924472.2083509776,967699.0774787795
1924472.2217001556,967699.1189542357
1924472.2407355097,967699.1795957629
1924472.258740362,967699.2395319071
1924472.2774671912,967699.2998009115
1924472.2962431281,967699.3607302482
1924472.309073625,967699.4027400652
1924472.328491974,967699.4645383175
1924472.3484830603,967699.5251835393
1924472.3677987247,967699.5868163618
1924472.38349424,967699.6360781706
1924472.3988555553,967699.684926103
1924472.4202141294,967699.7526524967
1924472.4357325004,967699.8009646694
1924472.4621377971,967699.8862249375
1924472.4657856147,967699.8981215782
1924472.4772171318,967699.9345147831
1924472.4966406685,967699.9949721447
1924472.5138651968,967700.0496241386
1924472.5322585485,967700.109293602
1924472.5475977825,967700.1571718624
1924472.5663297207,967700.2161206026
1924472.5846978,967700.2756455565
1924472.5960830012,967700.3106564119
1924472.616079986,967700.3764590038
1924472.6340594946,967700.4362712668
1924472.6515479875,967700.4961435233
1924472.670067304,967700.5566386444
1924472.6843727645,967700.6046573151
1924472.6999162484,967700.6598391754
1924472.7174572803,967700.7194847082
1924472.7354076107,967700.7801632927
1924472.7491707169,967700.8281592395
1924472.7669440631,967700.8878469272
1924472.782853959,967700.9417924391
1924472.8006516225,967701.0018721762
1924472.8143369975,967701.049929708
1924472.8284605336,967701.098236484
1924472.845766861,967701.1584587317
1924472.8629426023,967701.2190518052
1924472.874918076,967701.2617390809
1924472.8914707762,967701.3231342891
1924472.9085895165,967701.3851093117
1924472.9251919661,967701.4469998191
1924472.9407064316,967701.5096906656
1924472.9496034645,967701.5468786188
1924472.9543878976,967701.5654429505
1924472.9671375598,967701.6150028075
1924472.9816229548,967701.6766169491
1924472.995590466,967701.7385591586
1924473.0069957536,967701.7884232643
1924473.0203423004,967701.8506312538
1924473.0323388912,967701.9079036008
1924473.0455264684,967701.9711424474
1924473.0562292333,967702.022324115
1924473.0685112323,967702.0859514197
1924473.0808440149,967702.1498058452
1924473.0919116738,967702.2068270451
1924473.1017902573,967702.2573866469
1924473.114565507,967702.3203763457
1924473.1273934564,967702.3830980671
1924473.139679603,967702.4456526588
1924473.1494554249,967702.4960674524
1924473.1605023567,967702.5517682919
1924473.1719394526,967702.6134531656
1924473.1836352495,967702.6750358898
1924473.1927707372,967702.7240454102
1924473.203589737,967702.7852534198
1924473.2138650245,967702.8401054683
1924473.2234136395,967702.8891578434
1924473.2344915827,967702.9502018185
1924473.2461342057,967703.0121762973
1924473.257776275,967703.074295178
1924473.2667516777,967703.1246243616
1924473.2768133096,967703.1812909725
1924473.2880389811,967703.2442127919
1924473.2987196636,967703.3077926452
1924473.3098664898,967703.3710648569
1924473.3121683388,967703.3836783248
1924473.3189692933,967703.4218483798
1924473.327890962,967703.4727137204
1924473.3406391125,967703.5427173107
1924473.3518138437,967703.6054532643
